name	address	prefecture	phone	flag1	flag2	flag3	flag4	flag5	flag6	flat7	flag8	frozen_egg	frozen_preg	frozen_birth	frozen_rate	clinic_url
北海道大学病院	北海道札幌市北区北十四条西５丁目	北海道	81117065941	True	True	True	True	True	True	False	False	0	0	0	0	
さっぽろARTクリニックn24	北海道札幌市北区北二十三条西3丁目2-37第２北進建鉄ビル２階	北海道	81117926691	True	True	True	True	True	True	False	False	364	141	94	26	https://sapporoart.com/
おびひろARTクリニック	北海道帯広市東三条南9丁目3番地	北海道	81155671162	True	True	True	True	True	True	False	False	0	0	0	0	https://obihiro-art.jp/
医療法人社団 みずうち産科婦人科	北海道旭川市豊岡４条３丁目２−５	北海道	81166316713	True	True	True	True	True	True	False	False	0	0	0	0	https://www.mizuuchi.or.jp
医療法人社団卵会　とまこまいレディースクリニック	北海道苫小牧市弥生町2-12-5	北海道	81144735353	True	True	True	True	False	True	False	False	29	14	8	28	https://tomakomai-ladies.net/
KKR札幌医療センター	北海道札幌市豊平区平岸一条6丁目3-40	北海道	81118221811	True	True	True	True	True	True	False	False	7	4	2	29	https://smc.kkr.or.jp/
医療法人社団いちご会　美加レディースクリニック	北海道札幌市豊平区平岸三条13丁目5-21	北海道	81118337773	True	True	True	True	True	True	False	False	0	0	0	0	http://mikalady.jp
札幌医科大学附属病院	北海道札幌市中央区南一条西１６丁目２９１	北海道	81116112111	True	True	True	True	True	True	True	True	0	0	0	0	https://web.sapmed.ac.jp/hospital/index.html
足立産婦人科クリニック	北海道釧路市中園町8-1	北海道	81154257788	True	True	True	True	True	True	False	False	0	0	0	0	
医療法人社団のぞみ会　レディースクリニックぬまのはた	北海道苫小牧市北栄町2-27-7	北海道	81144530303	True	True	True	True	True	True	False	False	0	0	0	0	
医療法人社団神谷レディースクリニック	北海道札幌市中央区北三条西	北海道	81112312722	True	True	True	True	True	True	True	False	812	346	241	30	https://kamiyaclinic.com/
社会医療法人社団カレスサッポロ　時計台記念病院	北海道札幌市中央区北一条東1丁目2-3	北海道	81112511221	True	True	True	True	False	True	False	False	6	1	1	17	https://www.tokeidaihosp.or.jp/
医療法人金山生殖医療クリニック	北海道札幌市中央区北一条西４丁目１番１号２階	北海道	81112001122	True	True	True	True	True	True	False	False	0	0	0	0	
