name	address	prefecture	phone	flag1	flag2	flag3	flag4	flag5	flag6	flat7	flag8	frozen_egg	frozen_preg	frozen_birth	frozen_rate	clinic_url	longitude	latitude	icon
医療法人金山生殖医療クリニック	北海道札幌市中央区北一条西４丁目１番１号２階	北海道	81112001122	True	True	True	True	True	True	False	False	0	0	0	0		141.351013	43.061642	N/A
社会医療法人社団カレスサッポロ　時計台記念病院	北海道札幌市中央区北一条東1丁目2-3	北海道	81112511221	True	True	True	True	False	True	False	False	6	1	1	17	https://www.tokeidaihosp.or.jp/	141.357193	43.063381	consistent
国家公務員共済組合連合会　斗南病院	北海道札幌市中央区北四条西7丁目3-8	北海道	81112312121	True	True	True	True	True	True	True	True	0	0	0	0	https://www.tonan.kkr.or.jp/	141.345322	43.065147	N/A
おびひろARTクリニック	北海道帯広市東三条南9丁目3番地	北海道	81155671162	True	True	True	True	True	True	False	False	0	0	0	0	https://obihiro-art.jp/	143.209717	42.922504	N/A
足立産婦人科クリニック	北海道釧路市中園町8-1	北海道	81154257788	True	True	True	True	True	True	False	False	0	0	0	0		144.382477	43.005600	N/A
KKR札幌医療センター	北海道札幌市豊平区平岸一条6丁目3-40	北海道	81118221811	True	True	True	True	True	True	False	False	7	4	2	29	https://smc.kkr.or.jp/	141.366699	43.035812	consistent
医療法人社団神谷レディースクリニック	北海道札幌市中央区北三条西	北海道	81112312722	True	True	True	True	True	True	True	False	812	346	241	30	https://kamiyaclinic.com/	141.355011	43.065533	consistent
医療法人社団さっぽろARTクリニック	北海道札幌市北区北七条西４丁目１－２KDX札幌ビル４階	北海道	81117005880	True	True	True	True	True	True	False	False	0	0	0	0	https://sapporoart.jp/	141.349060	43.069229	N/A
医療法人社団いちご会　美加レディースクリニック	北海道札幌市豊平区平岸三条13丁目5-21	北海道	81118337773	True	True	True	True	True	True	False	False	0	0	0	0	http://mikalady.jp	141.369598	43.026661	N/A
札幌医科大学附属病院	北海道札幌市中央区南一条西１６丁目２９１	北海道	81116112111	True	True	True	True	True	True	True	True	0	0	0	0	https://web.sapmed.ac.jp/hospital/index.html	141.333206	43.055676	N/A
医療法人社団のぞみ会　レディースクリニックぬまのはた	北海道苫小牧市北栄町2-27-7	北海道	81144530303	True	True	True	True	True	True	False	False	0	0	0	0		141.688110	42.674831	N/A
医療法人社団卵会　とまこまいレディースクリニック	北海道苫小牧市弥生町2-12-5	北海道	81144735353	True	True	True	True	False	True	False	False	29	14	8	28	https://tomakomai-ladies.net/	141.577820	42.627502	consistent
医療法人社団 みずうち産科婦人科	北海道旭川市豊岡４条３丁目２−５	北海道	81166316713	True	True	True	True	True	True	False	False	0	0	0	0	https://www.mizuuchi.or.jp	142.396133	43.760426	N/A
北海道大学病院	北海道札幌市北区北十四条西５丁目	北海道	81117065941	True	True	True	True	True	True	False	False	0	0	0	0		141.345444	43.077339	N/A
旭川医科大学病院	北海道旭川市緑が丘東二条１丁目１番１号	北海道	81166652111	True	True	True	True	False	True	True	True	0	0	0	0	https://www.asahikawa-med.ac.jp/hospital/	142.381897	43.730633	N/A
さっぽろARTクリニックn24	北海道札幌市北区北二十三条西3丁目2-37第２北進建鉄ビル２階	北海道	81117926691	True	True	True	True	True	True	False	False	364	141	94	26	https://sapporoart.com/	141.346146	43.090099	consistent
エフ.クリニック	青森県青森市浜田3-3-7	青森県	81177294103	True	True	True	True	True	True	False	False	236	102	81	34	https://www.efclinic.com	140.750275	40.798649	better
婦人科さかもとともみクリニック	青森県弘前市早稲田3丁目20-6	青森県	81172295080	True	True	True	True	True	True	False	False	0	0	0	0	http://www.sakamoto-t-clinic.jp/	140.511139	40.597958	N/A
弘前大学医学部附属病院	青森県弘前市大字本町５３	青森県	81172335111	True	True	True	True	True	True	True	False	0	0	0	0	https://www.med.hirosaki-u.ac.jp/hospital/index.html	140.465576	40.599808	N/A
岩手医科大学附属内丸メディカルセンター	岩手県盛岡市内丸１９番１号	岩手県	81196136111	True	True	True	True	True	True	False	False	122	61	0	0	https://www.hosp.iwate-med.ac.jp/uchimaru/	141.151794	39.704502	worse
京野アートクリニック盛岡	岩手県盛岡市盛岡駅前通15-5 ワールドインGENプラザビル3階	岩手県	81196134124	True	True	True	True	True	True	False	False	0	0	0	0	https://ivf-kyono-morioka.jp/	141.136902	39.702915	N/A
仙台ソレイユ母子クリニック	宮城県仙台市太白区大野田4丁目31-3	宮城県	81222485001	True	True	True	True	False	True	False	False	216	106	0	0	https://sendai-soleil.jp/	140.875092	38.212322	worse
京野アートクリニック仙台	宮城県仙台市青葉区本町1-1-1-3F	宮城県	81227228841	True	True	True	True	True	True	True	True	536	261	221	41	https://ivf-kyono.jp/	140.880280	38.263287	better
